google_place_url,business_name,business_website,business_phone,email_1,email_2,type,sub_types,full_address,borough,street,city,postal_code,state,country,timezone,latitude,longitude,review_url,total_reviews,average_rating,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,google_id,contact_page,facebook,twitter,instagram,youtube,linkedin,website_built_with,website_title,website_desc,source_file
https://www.google.com/maps?cid=11474720609362948370,DDG Med Spa (Drop Dead Gorgeous),http://www.ddgmedspa.com/,+1 905-379-4344,info@ddgmedspa.com,,Skin care clinic,"Skin care clinic, Medical spa","11 Hess St S, Hamilton, ON L8P 3M7, Canada",Central Hamilton,11 Hess St S,Hamilton,L8P 3M7,Ontario,Canada,America/Toronto,43.2585875,-79.8772496,"https://search.google.com/local/reviews?placeid=ChIJyTZhns-bLIgRErHuOZllPp8&q=Laser+hair+removal+service+in+Sunninghill,+Hamilton,+ON,+Canada&authuser=0&hl=en&gl=US",203.0,4.7,"{1: 14, 2: 2, 3: 0, 4: 6, 5: 181}",14.0,2.0,0.0,6.0,181.0,0x882c9bcf9e6136c9:0x9f3e659939eeb112,https://ddgmedspa.com/contact/,https://www.facebook.com/DropDeadGorgeousMedSpa,,https://www.instagram.com/ddgmedspa/,,,Site Kit by Google 1.157.0,DDG Med Spa – Hamilton,,Canada.csv
https://www.google.com/maps?cid=14331759844270330862,SKYN Med Spa,http://www.skynmedspa.ca/,+1 905-387-7596,,,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Medical spa","576 Concession St Unit B, Hamilton, ON L8V 1B1, Canada",Eastmount,576 Concession St Unit B,Hamilton,L8V 1B1,Ontario,Canada,America/Toronto,43.2407181,-79.8514165,"https://search.google.com/local/reviews?placeid=ChIJaZkEOcCbLIgR7tPwO6Wj5MY&q=Laser+hair+removal+service+in+Sunninghill,+Hamilton,+ON,+Canada&authuser=0&hl=en&gl=US",161.0,4.9,"{1: 3, 2: 0, 3: 0, 4: 1, 5: 157}",3.0,0.0,0.0,1.0,157.0,0x882c9bc039049969:0xc6e4a3a53bf0d3ee,,,,,,,,,,Canada.csv
https://www.google.com/maps?cid=15825456821524372634,Skin Vitality Medical Clinic Hamilton,https://www.skinvitality.ca/hamilton/?src=7014X000001yGl0,+1 365-795-0096,,,Skin care clinic,"Skin care clinic, Beauty product supplier, Facial spa, Health and beauty shop, Medical spa, Medical clinic, Weight loss service","25 Main St W Suite 101, Hamilton, ON L8P 1H1, Canada",Durand,25 Main St W Suite 101,Hamilton,L8P 1H1,Ontario,Canada,America/Toronto,43.2555174,-79.871113,"https://search.google.com/local/reviews?placeid=ChIJ20mHcCKbLIgRmhw-3yFRn9s&q=Laser+hair+removal+service+in+Sunninghill,+Hamilton,+ON,+Canada&authuser=0&hl=en&gl=US",457.0,4.8,"{1: 23, 2: 2, 3: 1, 4: 7, 5: 424}",23.0,2.0,1.0,7.0,424.0,0x882c9b22708749db:0xdb9f5121df3e1c9a,https://www.skinvitality.ca/contact-us/,https://www.facebook.com/SkinVitalityMedicalClinic/,,https://www.instagram.com/skinvitality/,https://youtube.com/shorts/s72OO5SGn6c?si=SoU82UOxxeWvYNKW,,WordPress 6.7.2,Botox Hamilton | Lip Fillers Hamilton Near Me | Juvederm Hamilton,"Huge Savings on CoolSculpting! - Top CoolSculpting Clinic in Hamilton - Best Prices in Canada - Free Assessment with Doctor - No Downtime - Most Effective Anti-Aging Treatments - Non-Invasive Body Contouring - Don't Pay for 30 Days - Fast Results - Call (365) 795-0096 - Located at 25 Main Street West Suite #101, Hamilton Ontario L8P 1H1 - We are less than 2km from your location, book today!",Canada.csv
https://www.google.com/maps?cid=8568229180279037280,Gina's Sugar Shack - Organic Skin Care & Hair Removal Boutique,http://www.ginassugarshack.ca/,+1 613-882-4435,,,Skin care clinic,"Skin care clinic, Boutique, Hair removal service","5548 Manotick Main St, Manotick, ON K4M 1A5, Canada",Manotick,5548 Manotick Main St,Manotick,K4M 1A5,Ontario,Canada,America/Toronto,45.2247788,-75.68389499999999,"https://search.google.com/local/reviews?placeid=ChIJ81VeSMnlzUwRYB2rBAt36HY&q=Beauty+supply+store+in+Manotick,+ON,+Canada&authuser=0&hl=en&gl=US",22.0,5.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 22}",0.0,0.0,0.0,0.0,22.0,0x4ccde5c9485e55f3:0x76e8770b04ab1d60,,,,,,,,,,Canada.csv
https://www.google.com/maps?cid=8625623492655432148,Ethos Rejuvenation Centre,http://www.ethosskincare.com/,+1 519-601-8881,info@ethosskincare.com,,Skin care clinic,"Skin care clinic, Day spa, Facial spa, Laser hair removal service, Medical spa, Waxing hair removal service","1140 Southdale Rd W, London, ON N6P 0E1, Canada",Byron,1140 Southdale Rd W,London,N6P 0E1,Ontario,Canada,America/Toronto,42.9361877,-81.3277511,"https://search.google.com/local/reviews?placeid=ChIJ_YTPyILxLogR1MH9td1etHc&q=Spa+in+Oakridge,+London+West,+ON,+Canada&authuser=0&hl=en&gl=US",91.0,4.4,"{1: 10, 2: 3, 3: 3, 4: 2, 5: 73}",10.0,3.0,3.0,2.0,73.0,0x882ef182c8cf84fd:0x77b45eddb5fdc1d4,https://www.ethosskincare.com/contact-us/,https://www.facebook.com/EthosRejuvenationCentre/,,https://www.instagram.com/ethos_skincare/,,,WordPress 6.8.2,"Medical Rejuvenation Centre in London, Ontario | Ethos","Experience the best of medical rejuvenation at our centre in London, ON. Achieve radiant, youthful skin with our range of skincare treatments.",Canada.csv
https://www.google.com/maps?cid=14366849312366482736,Spectrum Of Beauty Permanent Makeup & Skin Care Clinic,http://spectrumcollege.ca/,+1 647-868-5828,info@spectrumofbeauty.ca,,Skin care clinic,Skin care clinic,"9955 Yonge St Unit 206, Richmond Hill, ON L4C 1T9, Canada",,9955 Yonge St Unit 206,Richmond Hill,L4C 1T9,Ontario,Canada,America/Toronto,43.870064,-79.436454,"https://search.google.com/local/reviews?placeid=ChIJG4uJLlsrK4gRMFUrrVRNYcc&q=Permanent+make-up+clinic+in+Downsview+Central,+ON,+Canada&authuser=0&hl=en&gl=US",225.0,5.0,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 224}",0.0,0.0,0.0,1.0,224.0,0x882b2b5b2e898b1b:0xc7614d54ad2b5530,http://spectrumcollege.ca/contact/,https://www.facebook.com/spectrum_of_beauty,,https://www.instagram.com/spectrum_of_beauty,,,WordPress 6.8.2,Spectrum of Beauty – Spectrum of Beauty,,Canada.csv
https://www.google.com/maps?cid=7823012257147248533,Toronto Beauty Clinic - North York - Sheppard W Station,https://www.torontobeautyclinic.ca/,+1 416-398-0111,hello@torontobeautyclinic.ca,,Skin care clinic,"Skin care clinic, Cosmetics industry, Facial spa, Hair transplantation clinic, Laser hair removal service, Medical spa","551 Wilson Heights Blvd, North York, ON M3H 2V7, Canada",North York,551 Wilson Heights Blvd,North York,M3H 2V7,Ontario,Canada,America/Toronto,43.7513854,-79.4561695,"https://search.google.com/local/reviews?placeid=ChIJlzsMLQ4yK4gRld_JJDPskGw&q=Permanent+make-up+clinic+in+Downsview+Central,+ON,+Canada&authuser=0&hl=en&gl=US",195.0,4.6,"{1: 13, 2: 2, 3: 5, 4: 4, 5: 171}",13.0,2.0,5.0,4.0,171.0,0x882b320e2d0c3b97:0x6c90ec3324c9df95,https://torontobeautyclinic.ca/contact-us,https://www.facebook.com/TorontoBeautyClinic/,,https://www.instagram.com/torontobeautyclinic/,,,,Toronto Beauty Clinic| Best Medical Skin & Hair Care Clinic,"Toronto's best PRP hair care and skin care clinic. We specialize in PRP for 
Hair loss/hair thinning and post-hair transplant PRP treatments, Vampire/ 
PRP facial, Mesotherapy, Carboxytherapy, Botox/anti-wrinkle treatment, 
Filler injections(lip filler, Cheek & Jawline contouring, under eye 
fillers), Pain-free laser hair removal, Microneedling, medical facials, 
Skin tag removal and more",Canada.csv
https://www.google.com/maps?cid=15770186100282836052,"KiLai Skin Glow, Laser and Brow",https://www.fresha.com/a/kilai-skin-glow-laser-and-brow-hamilton-134-ottawa-street-north-v4382xt3/booking?menu=true&utm_source=instagram&pId=251896,+1 905-545-2221,,,Skin care clinic,"Skin care clinic, Medical spa","134 Ottawa St N #3, Hamilton, ON L8H 3Z3, Canada",Crown Point East,134 Ottawa St N #3,Hamilton,L8H 3Z3,Ontario,Canada,America/Toronto,43.2463109,-79.817781,"https://search.google.com/local/reviews?placeid=ChIJ___L2iGfLIgRVEQpRbT02to&q=Laser+hair+removal+service+in+Sunninghill,+Hamilton,+ON,+Canada&authuser=0&hl=en&gl=US",21.0,5.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 21}",0.0,0.0,0.0,0.0,21.0,0x882c9f21dacbffff:0xdadaf4b445294454,,,,,,,,Make an appointment at KiLai Skin Glow Laser and Brow - 134 Ottawa Street north  - Hamilton | Fresha,"As a Certified Medical Aesthetician, I offer a wide range of treatments to enhance your beauty and well-being",Canada.csv
https://www.google.com/maps?cid=10858429467459583584,Healthy Image,http://www.healthyimage.ca/,+1 519-971-9542,contact@healthyimage.ca,,Skin care clinic,"Skin care clinic, Dermatologist, Medical spa","2224 Walker Rd Suite 300B, Windsor, ON N8W 5L7, Canada",South Walkerville,2224 Walker Rd Suite 300B,Windsor,N8W 5L7,Ontario,Canada,America/Toronto,42.3012926,-82.99230879999999,"https://search.google.com/local/reviews?placeid=ChIJb2y80H8rO4gRYP6P-hHksJY&q=Family+practice+physician+in+East+Forest+Glade,+Windsor,+ON,+Canada&authuser=0&hl=en&gl=US",38.0,4.5,"{1: 3, 2: 2, 3: 0, 4: 0, 5: 33}",3.0,2.0,0.0,0.0,33.0,0x883b2b7fd0bc6c6f:0x96b0e411fa8ffe60,https://healthyimage.ca/contact/,https://www.facebook.com/healthyimagecenter,,https://www.instagram.com/healthy.image.windsor/,https://www.youtube.com/channel/UCXFoXbTwYff0laRvl8JYqkQ,,Divi v.4.27.4,"Healthy Image Center | Cosmetic Dermatology Windsor | Dermatology Windsor, ON","Healthy Image Center, led by Dr. Jerry Tan, focuses on skin health, skin treaments and expert dermatology in Windsor, ON",Canada.csv
https://www.google.com/maps?cid=1422994778534866860,"Medical Cosmetics Patrick Xavier Smith, MD",https://www.pxsmithmd.com/,+1 519-819-1119,pxsmithmd@gmail.com,,Skin care clinic,"Skin care clinic, Dermatologist, Laser hair removal service, Medical spa, Permanent make-up clinic","7875 Riverside Dr E, Windsor, ON N8S 1E1, Canada",Riverside,7875 Riverside Dr E,Windsor,N8S 1E1,Ontario,Canada,America/Toronto,42.3394283,-82.9481811,"https://search.google.com/local/reviews?placeid=ChIJP92_W9MqO4gRrG_OMzZ-vxM&q=Family+practice+physician+in+East+Forest+Glade,+Windsor,+ON,+Canada&authuser=0&hl=en&gl=US",85.0,4.8,"{1: 4, 2: 0, 3: 0, 4: 0, 5: 81}",4.0,0.0,0.0,0.0,81.0,0x883b2ad35bbfdd3f:0x13bf7e3633ce6fac,https://www.pxsmithmd.com/contact-us/,https://www.facebook.com/dr.smithmedicalcosmetics/,,https://www.instagram.com/pxsmithmedicalcosmetics/,,,WordPress 6.8.2,General & Cosmetic Dermatologist in Windsor | Medical Cosmetics,"Our Windsor medical cosmetics clinic offers patients a variety of facial enhancement and skin treatments. From Botox, to laser hair removal and Vitamindrips we strive to keep you looking your best.",Canada.csv
